Bromeliad	Carbon	Scenario	Time	Block	Abs
49	19	3	0	4	0.073
49	2	3	0	4	-0.108
49	9	3	0	4	-0.081
49	27	3	0	4	-0.076
49	28	3	0	4	-0.109
49	21	3	0	4	-0.113
49	25	3	0	4	-0.081
49	20	3	0	4	-0.136
49	13	3	0	4	-0.167
49	15	3	0	4	-0.200
49	7	3	0	4	-0.173
49	12	3	0	4	-0.210
49	4	3	0	4	-0.118
49	11	3	0	4	-0.128
49	30	3	0	4	-0.079
49	22	3	0	4	0.123
49	23	3	0	4	-0.214
49	8	3	0	4	-0.200
49	3	3	0	4	-0.218
49	29	3	0	4	-0.206
12	31	2	0	2	-0.013
12	5	2	0	2	0.070
12	16	2	0	2	0.359
12	17	2	0	2	0.011
12	6	2	0	2	0.155
12	10	2	0	2	0.100
12	24	2	0	2	0.228
12	26	2	0	2	0.012
12	14	2	0	2	0.029
12	1	2	0	2	-0.004
12	18	2	0	2	-0.017
12	19	2	0	2	0.044
12	2	2	0	2	0.003
12	9	2	0	2	-0.003
12	27	2	0	2	-0.010
12	28	2	0	2	0.021
12	21	2	0	2	-0.011
12	25	2	0	2	-0.005
12	20	2	0	2	-0.012
12	13	2	0	2	0.032
12	15	2	0	2	0.006
12	7	2	0	2	-0.002
12	12	2	0	2	0.002
12	4	2	0	2	0.054
12	11	2	0	2	0.009
12	30	2	0	2	0.045
12	22	2	0	2	0.025
12	23	2	0	2	0.255
12	8	2	0	2	0.258
12	3	2	0	2	0.103
12	29	2	0	2	0.049
13	13	2	0	3	-0.054
13	15	2	0	3	-0.041
13	7	2	0	3	0.043
13	12	2	0	3	-0.041
13	4	2	0	3	0.042
13	11	2	0	3	-0.030
13	30	2	0	3	-0.019
13	22	2	0	3	-0.032
14	31	2	0	4	-0.062
14	5	2	0	4	0.512
14	16	2	0	4	0.685
14	17	2	0	4	0.793
14	6	2	0	4	0.775
14	10	2	0	4	0.843
14	24	2	0	4	1.101
14	26	2	0	4	-0.137
14	14	2	0	4	0.057
14	1	2	0	4	-0.204
14	18	2	0	4	-0.184
14	19	2	0	4	-0.252
14	2	2	0	4	-0.268
14	9	2	0	4	-0.287
14	27	2	0	4	-0.293
14	28	2	0	4	-0.253
14	21	2	0	4	-0.294
14	25	2	0	4	-0.218
14	20	2	0	4	-0.288
14	13	2	0	4	-0.298
14	15	2	0	4	-0.316
14	7	2	0	4	-0.312
14	12	2	0	4	-0.317
14	4	2	0	4	-0.321
14	11	2	0	4	-0.322
14	30	2	0	4	-0.288
14	22	2	0	4	-0.307
14	23	2	0	4	-0.328
14	8	2	0	4	-0.315
14	3	2	0	4	-0.328
14	29	2	0	4	-0.325
16	13	2	0	3	-0.010
16	15	2	0	3	-0.013
16	7	2	0	3	0.016
16	12	2	0	3	-0.014
16	4	2	0	3	-0.016
16	11	2	0	3	-0.006
16	30	2	0	3	0.020
16	22	2	0	3	-0.001
24	31	2	0	2	-0.116
24	5	2	0	2	-0.101
24	16	2	0	2	-0.121
24	17	2	0	2	-0.113
24	6	2	0	2	-0.050
24	10	2	0	2	-0.115
24	24	2	0	2	-0.122
24	26	2	0	2	-0.083
24	14	2	0	2	-0.113
24	1	2	0	2	-0.098
24	18	2	0	2	-0.119
24	19	2	0	2	-0.063
24	2	2	0	2	-0.101
24	9	2	0	2	-0.103
24	27	2	0	2	-0.108
24	28	2	0	2	-0.082
24	21	2	0	2	-0.100
24	25	2	0	2	-0.085
24	20	2	0	2	-0.111
24	13	2	0	2	-0.093
24	15	2	0	2	-0.107
24	7	2	0	2	-0.103
24	12	2	0	2	-0.105
24	4	2	0	2	0.248
24	11	2	0	2	-0.105
24	30	2	0	2	-0.071
24	22	2	0	2	-0.062
24	23	2	0	2	0.033
24	8	2	0	2	0.071
24	3	2	0	2	-0.018
24	29	2	0	2	-0.046
27	31	2	0	3	0.236
27	5	2	0	3	0.220
27	16	2	0	3	0.248
27	17	2	0	3	-0.020
27	6	2	0	3	0.595
27	10	2	0	3	0.688
27	24	2	0	3	-0.017
27	26	2	0	3	0.359
27	14	2	0	3	0.044
27	1	2	0	3	0.320
27	18	2	0	3	0.286
27	19	2	0	3	-0.002
27	2	2	0	3	-0.023
27	9	2	0	3	0.004
27	27	2	0	3	0.051
27	28	2	0	3	-0.001
27	21	2	0	3	-0.003
27	25	2	0	3	0.025
27	20	2	0	3	0.012
27	13	2	0	3	-0.016
27	15	2	0	3	-0.012
27	7	2	0	3	0.002
27	12	2	0	3	-0.002
27	4	2	0	3	-0.008
27	11	2	0	3	-0.014
27	30	2	0	3	0.013
27	22	2	0	3	0.017
27	23	2	0	3	0.059
27	8	2	0	3	-0.002
27	3	2	0	3	0.135
27	29	2	0	3	-0.006
52	31	2	0	3	0.013
52	5	2	0	3	0.050
52	16	2	0	3	0.108
52	17	2	0	3	0.204
52	6	2	0	3	0.170
52	10	2	0	3	0.297
52	24	2	0	3	0.518
52	26	2	0	3	0.116
52	14	2	0	3	-0.012
52	1	2	0	3	0.040
52	18	2	0	3	0.031
52	19	2	0	3	0.201
52	2	2	0	3	-0.007
52	9	2	0	3	0.062
52	27	2	0	3	0.023
52	28	2	0	3	0.000
52	21	2	0	3	-0.009
52	25	2	0	3	0.006
52	20	2	0	3	0.002
52	13	2	0	3	-0.004
52	15	2	0	3	-0.020
52	7	2	0	3	-0.017
52	12	2	0	3	0.000
52	4	2	0	3	-0.007
52	11	2	0	3	-0.009
52	30	2	0	3	0.050
52	22	2	0	3	-0.001
52	23	2	0	3	0.087
52	8	2	0	3	-0.012
52	3	2	0	3	-0.010
52	29	2	0	3	-0.013
13	31	1	0	3	-0.010
13	5	1	0	3	0.182
13	16	1	0	3	0.076
13	17	1	0	3	1.066
13	6	1	0	3	0.512
13	10	1	0	3	0.790
13	24	1	0	3	0.193
13	26	1	0	3	0.003
13	14	1	0	3	-0.078
13	1	1	0	3	-0.049
13	18	1	0	3	-0.049
13	19	1	0	3	0.172
13	2	1	0	3	0.610
13	9	1	0	3	0.064
13	27	1	0	3	0.008
13	28	1	0	3	-0.054
13	21	1	0	3	-0.078
13	25	1	0	3	-0.070
13	20	1	0	3	-0.070
13	23	1	0	3	-0.074
13	8	1	0	3	-0.044
13	3	1	0	3	-0.057
13	29	1	0	3	-0.031
16	31	1	0	3	0.298
16	5	1	0	3	0.646
16	16	1	0	3	0.229
16	17	1	0	3	0.176
16	6	1	0	3	0.114
16	10	1	0	3	0.296
16	24	1	0	3	0.408
16	26	1	0	3	0.256
16	14	1	0	3	0.301
16	1	1	0	3	0.102
16	18	1	0	3	0.039
16	19	1	0	3	0.052
16	2	1	0	3	0.036
16	9	1	0	3	0.024
16	27	1	0	3	0.032
16	28	1	0	3	0.000
16	21	1	0	3	0.005
16	25	1	0	3	0.065
16	20	1	0	3	-0.001
16	23	1	0	3	-0.007
16	8	1	0	3	-0.005
16	3	1	0	3	-0.010
16	29	1	0	3	-0.015
22	31	1	0	4	0.553
22	5	1	0	4	0.198
22	16	1	0	4	0.355
22	17	1	0	4	0.317
22	6	1	0	4	0.587
22	10	1	0	4	0.666
22	24	1	0	4	0.689
22	26	1	0	4	0.555
22	14	1	0	4	0.387
22	1	1	0	4	0.259
22	18	1	0	4	0.718
22	19	1	0	4	0.221
22	2	1	0	4	0.114
22	9	1	0	4	0.086
22	27	1	0	4	0.437
22	28	1	0	4	0.026
22	21	1	0	4	0.043
22	25	1	0	4	0.096
22	20	1	0	4	0.154
22	13	1	0	4	0.183
22	15	1	0	4	0.133
22	7	1	0	4	0.122
22	12	1	0	4	0.331
22	4	1	0	4	0.028
22	11	1	0	4	0.019
22	30	1	0	4	0.044
22	22	1	0	4	0.047
22	23	1	0	4	0.274
22	8	1	0	4	0.132
22	3	1	0	4	0.157
22	29	1	0	4	0.092
29	31	1	0	4	0.139
29	5	1	0	4	0.148
29	16	1	0	4	0.317
29	17	1	0	4	0.219
29	6	1	0	4	0.530
29	10	1	0	4	0.240
29	24	1	0	4	0.303
29	26	1	0	4	0.537
29	14	1	0	4	0.126
29	1	1	0	4	0.192
29	18	1	0	4	0.276
29	19	1	0	4	0.308
29	2	1	0	4	0.196
29	9	1	0	4	0.226
29	27	1	0	4	0.348
29	28	1	0	4	-0.003
29	21	1	0	4	-0.032
29	25	1	0	4	-0.008
29	20	1	0	4	-0.018
29	13	1	0	4	0.422
29	15	1	0	4	0.316
29	7	1	0	4	0.172
29	12	1	0	4	0.199
29	4	1	0	4	-0.040
29	11	1	0	4	-0.043
29	30	1	0	4	-0.026
29	22	1	0	4	-0.022
29	23	1	0	4	0.218
29	8	1	0	4	0.217
29	3	1	0	4	0.459
29	29	1	0	4	0.236
46	31	1	0	2	-0.317
46	5	1	0	2	-0.321
46	16	1	0	2	-0.321
46	17	1	0	2	-0.286
46	6	1	0	2	-0.239
46	10	1	0	2	-0.278
46	24	1	0	2	-0.314
46	26	1	0	2	-0.162
46	14	1	0	2	-0.329
46	1	1	0	2	-0.304
46	18	1	0	2	-0.321
46	19	1	0	2	-0.308
46	2	1	0	2	-0.306
46	9	1	0	2	-0.320
46	27	1	0	2	-0.323
46	28	1	0	2	-0.237
46	21	1	0	2	-0.316
46	25	1	0	2	-0.265
46	20	1	0	2	-0.317
46	13	1	0	2	-0.313
46	15	1	0	2	-0.324
46	7	1	0	2	-0.324
46	12	1	0	2	-0.306
46	4	1	0	2	-0.092
46	11	1	0	2	-0.052
46	30	1	0	2	0.149
46	22	1	0	2	-0.078
46	23	1	0	2	-0.315
46	8	1	0	2	-0.266
46	3	1	0	2	-0.310
46	29	1	0	2	0.296
51	31	1	0	2	-0.002
51	5	1	0	2	-0.006
51	16	1	0	2	-0.012
51	17	1	0	2	-0.010
51	6	1	0	2	0.060
51	10	1	0	2	-0.007
51	24	1	0	2	0.048
51	26	1	0	2	0.131
51	14	1	0	2	-0.014
51	1	1	0	2	0.004
51	18	1	0	2	-0.012
51	19	1	0	2	0.041
51	2	1	0	2	-0.010
51	9	1	0	2	-0.001
51	27	1	0	2	0.000
51	28	1	0	2	0.021
51	21	1	0	2	0.007
51	25	1	0	2	0.025
51	20	1	0	2	0.004
51	13	1	0	2	0.031
51	15	1	0	2	0.052
51	7	1	0	2	-0.008
51	12	1	0	2	-0.012
51	4	1	0	2	0.092
51	11	1	0	2	0.026
51	30	1	0	2	0.059
51	22	1	0	2	0.042
51	23	1	0	2	0.097
51	8	1	0	2	0.227
51	3	1	0	2	0.078
51	29	1	0	2	0.042
3	31	4	24	2	0.085
3	5	4	24	2	0.156
3	16	4	24	2	0.482
3	17	4	24	2	0.603
3	6	4	24	2	-0.056
3	10	4	24	2	0.342
3	24	4	24	2	0.083
3	26	4	24	2	-0.392
3	14	4	24	2	-0.470
3	1	4	24	2	-0.476
3	18	4	24	2	-0.389
3	19	4	24	2	0.048
3	2	4	24	2	0.242
3	9	4	24	2	-0.260
3	27	4	24	2	0.488
3	28	4	24	2	-0.457
3	21	4	24	2	-0.381
3	25	4	24	2	-0.457
3	20	4	24	2	-0.491
3	13	4	24	2	-0.340
3	15	4	24	2	-0.438
3	7	4	24	2	-0.356
3	12	4	24	2	-0.399
3	4	4	24	2	-0.281
3	11	4	24	2	-0.406
3	30	4	24	2	-0.461
3	22	4	24	2	-0.448
3	23	4	24	2	-0.443
3	8	4	24	2	-0.391
3	3	4	24	2	-0.462
3	29	4	24	2	-0.316
26	31	4	24	4	0.091
26	5	4	24	4	-0.282
26	16	4	24	4	-0.340
26	17	4	24	4	0.388
26	6	4	24	4	0.354
26	10	4	24	4	0.118
26	24	4	24	4	-0.104
26	26	4	24	4	0.011
26	14	4	24	4	-0.577
26	1	4	24	4	-0.543
26	18	4	24	4	-0.322
26	19	4	24	4	-0.100
26	2	4	24	4	-0.249
26	9	4	24	4	-0.142
26	27	4	24	4	0.060
26	28	4	24	4	-0.560
26	21	4	24	4	0.158
26	25	4	24	4	-0.538
26	20	4	24	4	-0.482
26	13	4	24	4	-0.748
26	15	4	24	4	-0.749
26	7	4	24	4	-0.734
26	12	4	24	4	-0.677
26	4	4	24	4	0.100
26	11	4	24	4	-0.380
26	30	4	24	4	-0.487
26	22	4	24	4	-0.566
26	23	4	24	4	-0.827
26	8	4	24	4	-0.845
26	3	4	24	4	-0.804
26	29	4	24	4	-0.609
36	31	4	24	2	0.343
36	5	4	24	2	0.263
36	16	4	24	2	0.260
36	17	4	24	2	0.154
36	6	4	24	2	0.076
36	10	4	24	2	0.219
36	24	4	24	2	0.075
36	26	4	24	2	0.661
36	14	4	24	2	0.073
36	1	4	24	2	0.125
36	18	4	24	2	0.494
36	19	4	24	2	0.051
36	2	4	24	2	0.222
36	9	4	24	2	0.012
36	27	4	24	2	0.048
36	28	4	24	2	0.001
36	21	4	24	2	0.296
36	25	4	24	2	0.010
36	20	4	24	2	0.030
36	13	4	24	2	0.075
36	15	4	24	2	-0.008
36	7	4	24	2	-0.035
36	12	4	24	2	-0.021
36	4	4	24	2	0.087
36	11	4	24	2	0.015
36	30	4	24	2	-0.044
36	22	4	24	2	0.037
36	23	4	24	2	0.529
36	8	4	24	2	0.438
36	3	4	24	2	0.240
36	29	4	24	2	0.347
40	31	4	24	3	0.900
40	5	4	24	3	0.705
40	16	4	24	3	0.682
40	17	4	24	3	0.509
40	6	4	24	3	0.140
40	10	4	24	3	0.655
40	24	4	24	3	1.009
40	26	4	24	3	0.484
40	14	4	24	3	0.058
40	1	4	24	3	0.090
40	18	4	24	3	0.305
40	19	4	24	3	0.524
40	2	4	24	3	0.611
40	9	4	24	3	0.192
40	27	4	24	3	0.268
40	28	4	24	3	0.018
40	21	4	24	3	0.546
40	25	4	24	3	0.124
40	20	4	24	3	0.016
40	13	4	24	3	0.070
40	15	4	24	3	0.075
40	7	4	24	3	0.035
40	12	4	24	3	0.014
40	4	4	24	3	0.250
40	11	4	24	3	0.036
40	30	4	24	3	0.012
40	22	4	24	3	0.012
40	23	4	24	3	0.379
40	8	4	24	3	0.145
40	3	4	24	3	0.130
40	29	4	24	3	0.395
44	31	4	24	3	0.410
44	5	4	24	3	0.311
44	16	4	24	3	0.311
44	17	4	24	3	0.476
44	6	4	24	3	0.049
44	10	4	24	3	0.605
44	24	4	24	3	0.770
44	26	4	24	3	0.959
44	14	4	24	3	0.368
44	1	4	24	3	0.261
44	18	4	24	3	0.786
44	19	4	24	3	0.430
44	2	4	24	3	0.492
44	9	4	24	3	0.236
44	27	4	24	3	0.229
44	28	4	24	3	0.033
44	21	4	24	3	0.482
44	25	4	24	3	0.259
44	20	4	24	3	0.078
44	13	4	24	3	0.048
44	15	4	24	3	0.043
44	7	4	24	3	-0.014
44	12	4	24	3	-0.009
44	4	4	24	3	0.394
44	11	4	24	3	0.036
44	30	4	24	3	0.010
44	22	4	24	3	0.020
44	23	4	24	3	0.718
44	8	4	24	3	0.202
44	3	4	24	3	0.259
44	29	4	24	3	0.383
6	31	3	24	4	0.196
6	5	3	24	4	0.341
6	16	3	24	4	0.285
6	17	3	24	4	0.564
6	6	3	24	4	0.476
6	10	3	24	4	0.230
6	24	3	24	4	0.047
6	26	3	24	4	0.165
6	14	3	24	4	-0.371
6	1	3	24	4	-0.355
6	18	3	24	4	-0.308
6	19	3	24	4	0.055
6	2	3	24	4	0.264
6	9	3	24	4	0.190
6	27	3	24	4	0.433
6	28	3	24	4	-0.358
6	21	3	24	4	0.161
6	25	3	24	4	-0.235
6	20	3	24	4	-0.365
6	13	3	24	4	-0.300
6	15	3	24	4	-0.468
6	7	3	24	4	-0.430
6	12	3	24	4	-0.475
6	4	3	24	4	-0.088
6	11	3	24	4	-0.177
6	30	3	24	4	-0.468
6	22	3	24	4	-0.411
6	23	3	24	4	-0.561
6	8	3	24	4	-0.538
6	3	3	24	4	-0.526
6	29	3	24	4	-0.346
15	31	3	24	2	0.076
15	5	3	24	2	-0.062
15	16	3	24	2	-0.103
15	17	3	24	2	-0.165
15	6	3	24	2	-0.044
15	10	3	24	2	0.197
15	24	3	24	2	0.082
15	26	3	24	2	0.149
15	14	3	24	2	-0.160
15	1	3	24	2	-0.234
15	18	3	24	2	0.267
15	19	3	24	2	-0.329
15	2	3	24	2	-0.257
15	9	3	24	2	-0.376
15	27	3	24	2	-0.405
15	28	3	24	2	-0.359
15	21	3	24	2	-0.121
15	25	3	24	2	-0.365
15	20	3	24	2	-0.337
15	13	3	24	2	-0.322
15	15	3	24	2	-0.392
15	7	3	24	2	-0.336
15	12	3	24	2	-0.420
15	4	3	24	2	-0.298
15	11	3	24	2	-0.306
15	30	3	24	2	-0.391
15	22	3	24	2	-0.341
15	23	3	24	2	0.364
15	8	3	24	2	-0.037
15	3	3	24	2	-0.149
15	29	3	24	2	-0.300
23	31	3	24	2	0.497
23	5	3	24	2	0.080
23	16	3	24	2	0.242
23	17	3	24	2	0.499
23	6	3	24	2	0.048
23	10	3	24	2	0.308
23	24	3	24	2	0.389
23	26	3	24	2	0.120
23	14	3	24	2	-0.102
23	1	3	24	2	-0.141
23	18	3	24	2	-0.095
23	19	3	24	2	0.154
23	2	3	24	2	0.063
23	9	3	24	2	-0.052
23	27	3	24	2	0.206
23	28	3	24	2	-0.119
23	21	3	24	2	0.300
23	25	3	24	2	-0.121
23	20	3	24	2	-0.146
23	13	3	24	2	-0.050
23	15	3	24	2	-0.149
23	7	3	24	2	-0.125
23	12	3	24	2	-0.069
23	4	3	24	2	0.108
23	11	3	24	2	0.047
23	30	3	24	2	-0.034
23	22	3	24	2	-0.115
23	23	3	24	2	-0.131
23	8	3	24	2	-0.055
23	3	3	24	2	-0.140
23	29	3	24	2	0.058
38	31	3	24	3	0.654
38	5	3	24	3	0.423
38	16	3	24	3	0.450
38	17	3	24	3	0.673
38	6	3	24	3	0.179
38	10	3	24	3	0.493
38	24	3	24	3	0.637
38	26	3	24	3	0.363
38	14	3	24	3	0.010
38	1	3	24	3	0.001
38	18	3	24	3	0.292
38	19	3	24	3	0.716
38	2	3	24	3	0.487
38	9	3	24	3	0.232
38	27	3	24	3	0.417
38	28	3	24	3	-0.005
38	21	3	24	3	0.513
38	25	3	24	3	0.126
38	20	3	24	3	0.002
38	13	3	24	3	0.047
38	15	3	24	3	0.024
38	7	3	24	3	0.015
38	12	3	24	3	0.050
38	4	3	24	3	0.502
38	11	3	24	3	0.025
38	30	3	24	3	-0.002
38	22	3	24	3	-0.002
38	23	3	24	3	0.379
38	8	3	24	3	0.019
38	3	3	24	3	0.030
38	29	3	24	3	0.378
49	31	3	24	4	0.429
49	5	3	24	4	-0.319
49	16	3	24	4	-0.133
49	17	3	24	4	0.471
49	6	3	24	4	0.420
49	10	3	24	4	0.179
49	24	3	24	4	-0.046
49	26	3	24	4	-0.344
49	14	3	24	4	-0.424
49	1	3	24	4	-0.508
49	18	3	24	4	-0.470
49	19	3	24	4	-0.152
49	2	3	24	4	-0.105
49	9	3	24	4	0.000
49	27	3	24	4	0.277
49	28	3	24	4	-0.496
49	21	3	24	4	0.222
49	25	3	24	4	-0.406
49	20	3	24	4	-0.583
49	13	3	24	4	-0.511
49	15	3	24	4	-0.643
49	7	3	24	4	-0.576
49	12	3	24	4	-0.558
49	4	3	24	4	0.040
49	11	3	24	4	-0.246
49	30	3	24	4	-0.634
49	22	3	24	4	-0.528
49	23	3	24	4	-0.634
49	8	3	24	4	-0.680
49	3	3	24	4	-0.679
